avow,admit; declare openly
stigma,mark of shame or disgrace
mendacious,lying; habitually dishonest
indulge,gratify; give way to satisfy allow oneself
castigation,severe punishment
deter,discourage hinder
vehemence,forcefulness
benevolence,wish or activity in doing good
gist,the point general sense
incredulous,skeptical; unwilling to believe
squat,crouch/settle without permission
exuberance,state of growing vigorously being full of life
soar,rise fly high
tenacity,firmness persistency adhesiveness tending to hang on
incessant,Constant
procrastination,keeping on putting off
conciliatory,reconciling; soothing; comforting; mollifying
subdue,overcome bring under control
transient,temporary fleeting
tassel,bunch of threads
apostate,one who abandons long-held religious or political convictions
engrave,impress deeply
berate,scold sharply
connotation,suggestion in addition to
flaunting,show off complacently
empirical,relying on experiment
impair,worsen; diminish in value
immaculate,pure; faultless
pillage,plunder (especially in war)
extrovert,cheerful person
prone,prostrate; inclined to (undesirable things)
astute,clever quick at seeing to get an advantage
coy,shy/modest (especially of a girl)
truce,(agreement) stop of fighting for a time
precepts,rules establishing standards of conduct
exorbitant,much too high or great
mollify,make calmer or quieter
incorrigibility,cannot be cured or corrected
taciturn,"unspoken, silent"
sober,self-controlled
approbation,approval
conviction,convincing firm belief
castigate,to chastise; correct by punishing
bolster,give greatly needed support
efface,"rub or wipe out, obliterate"
vex,annoy distress trouble
fallacious,based on error
flamboyant,brightly colored; florid
nonchalant,not having interest
gorge,eat greedily/narrow opening with a stream
poncho,large piece of cloth
grandiloquent,using pompous words
pitfall,covered hole as a trap unsuspected danger
coddle,treat with care and tenderness
impassive,unmoved; feeling no sign of passion
lull,become quiet or less active
curtail,make shorter then was planned
perch,take up a high position
inscrutable,incapable of being discovered or understood
shrill,sharp; piercing
prudence,careful forethought
cohort,a group or band of people
boorish,crude; rude
timorous,fearful timid afraid
imperturbable,calm not capable of being excited
arboreal,of connected with trees
rescind,repeal/annul/cancel
intersperse,place here and there
oblivious,unaware; having no memory
ignoble,not noble; inferior
espouse,To take in marriage
sagacious,having sound judgment; perceptive; wise like a sage
nebulous,cloud-like; hazy; vague; indistinct
disseminate,distribute (esp. ideas)
bask,in enjoy warmth and light
heed,attention/give notice to
precarious,uncertain risky dangerous
incise,engrave; make a cut in
endearing,making dear or liked
ebullient,overflowing with enthusiasm showing excitement
inferno,hell
palpitate,tremble beat rapidly and irregularly
fluke,lucky; stroke
fluster,make nervous or confused
graze,touch or scrape lightly in passing
laudatory,expressing or giving praise
matriculation,be admitted enter a university as a student
susceptibility,sensitiveness
embellish,make beautiful
ominous,threatening
ostracism,shut out from society refuse to meet talk
divulge,make known something secret
pliant,easily bent
maverick,rebel; nonconformist
malapropism,misuse of a word (for one that resembles it)
quell,suppress subdue
extort,obtain by threats violence
cling,to resist separation
sidestep,step to one side
dubious,feeling doubt
irascible,irritable; easily angered
fidget,move restlessly make nervous
epitome,brief summary representative example a typical model
corroboration,additional strengthening evidence
garner,to gather and save to store up
ambrosial,extremely pleasing to taste
ferocity,savage cruelty
expurgate,to remove obscenity purify censor
cantankerous,bad-tempered/quarrelsome
arabesque,a complex ornate design
attune,bring into harmony
chaste,pure
efficacy,production of a desired result
rift,split crack dissension
palpability,can be felt or touched
veer,change direction
insensible,unconscious; unresponsive; unaffected
gourmand,a person who is devoted to eating and drinking to excess
plead,address a court of law as an advocate
morbid,diseased; unhealthy (e.g.. about ideas)
enmity,hatred being an enemy
